title,brand,price,old_price,discount_percent,rating,reviews_count,availability,url,image,badges
Коньяк Adjari 5* 1 л 40% (4820235321505_4820183103109_4823122204172),Коньяк,455,,,3.7,12,Готово до відправки,https://rozetka.com.ua/ua/adjari_4820183103109/p205554733/,https://content.rozetka.com.ua/goods/images/big_tile/387925236.jpg,
Віскі Teacher's Highland Cream 4 роки витримки 0.5 л 40% (5010093501235),Віскі,519,622,17,4.4,20,Невідомо,https://rozetka.com.ua/ua/makers_mark_5010093501235/p24524640/,https://content2.rozetka.com.ua/goods/images/big_tile/11303094.jpg,−17%
Лікер Brandbar Cherry 0.7 л 22% (4820085491205),Лікер,392,417,6,4.3,5,Невідомо,https://rozetka.com.ua/ua/brandbar_4820085491205/p5905623/,https://content2.rozetka.com.ua/goods/images/big_tile/48380005.jpg,КРАФТ УКРАЇНИ
Настоянка плодова Відьомська вода Аронія 0.5 л 22% (4820269290426),Настоянка,379,457,17,,,Є в наявності,https://rozetka.com.ua/ua/witch-water-4820269290426/p455353759/,https://content2.rozetka.com.ua/goods/images/big_tile/482216032.jpg,
Бренді Bolgrad VSOP 4 роки витримки 0.5 л 40% (4820013031084),Бренді,219,269,19,4.3,10,Готово до відправки,https://rozetka.com.ua/ua/bolgrad_4820013031084/p24427347/,https://content2.rozetka.com.ua/goods/images/big_tile/620093065.jpg,
Горілка Козацька душа класична 0.5 л 40% (4820210841912),Горілка,99,134,26,3.0,1,Готово до відправки,https://rozetka.com.ua/ua/bez-brenda-4820210841912/p452932775/,https://content.rozetka.com.ua/goods/images/big_tile/477608083.jpg,
Бренді Lekso 4 роки витримки 0.5 л 40% (4860110960788),Бренді,219,274,20,,,Готово до відправки,https://rozetka.com.ua/ua/lekso-4860110960788/p558201165/,https://content1.rozetka.com.ua/goods/images/big_tile/629092435.jpg,НОВИНКА
Ром Old Captain Rum Gold Rum 1 л 37.5% (8711114480658),Ром,449,496,9,3.0,6,Невідомо,https://rozetka.com.ua/ua/old_captain_8711114480658/p348883647/,https://content1.rozetka.com.ua/goods/images/big_tile/279034624.jpg,−9%
Лікер Fior Di Caffe 0.5 л 17% (8024158057732),Лікер,314,410,23,5.0,1,Є в наявності,https://rozetka.com.ua/ua/fior_8024158057732/p319051030/,https://content2.rozetka.com.ua/goods/images/big_tile/533327482.jpg,−23%
Міцний алкогольний напій Alexandrion 7* 0.7 л 40% (5942122003598_5942122000122_5942122012682),Міцний,469,648,28,5.0,4,Невідомо,https://rozetka.com.ua/ua/alexandrion_5942122000122/p193502100/,https://content1.rozetka.com.ua/goods/images/big_tile/518527280.jpg,−28%
Напій алкогольний міцний Гринвіч Honey 0.5 л 35% (4820094250848),Напій,152,,,4.7,7,Невідомо,https://rozetka.com.ua/ua/grinvich_4820094250848/p78801920/,https://content1.rozetka.com.ua/goods/images/big_tile/482610693.jpg,
Віскі McIvor Finest Blended Scotch Whisky 0.7 л 40% (5038342511705),Віскі,399,505,21,,,Невідомо,https://rozetka.com.ua/ua/mcivor-5038342511705/p553573593/,https://content1.rozetka.com.ua/goods/images/big_tile/611482139.jpg,−21%
Лікер Tatratea COCONUT 0.7 л 22% (8588003786333),Лікер,966,1199,19,4.7,4,Невідомо,https://rozetka.com.ua/ua/tatratea_8588003786333/p17638944/,https://content1.rozetka.com.ua/goods/images/big_tile/571626570.jpg,−19%
Джин Whitley Neill 0.7 л 43% у подарунковій упаковці (5011166052753),Джин,849,1085,22,,,Невідомо,https://rozetka.com.ua/ua/whitley-neill-5011166052753/p438573626/,https://content1.rozetka.com.ua/goods/images/big_tile/446804493.jpg,−22%
Горілка Smereka Джерельна 0.5 л 40% (4820197563487),Горілка,110,154,29,4.0,2,Невідомо,https://rozetka.com.ua/ua/smereka-4820197563487/p361639359/,https://content2.rozetka.com.ua/goods/images/big_tile/399886621.jpg,
Напій спиртний ароматизований Легка Рука Cappuccino 0.5 л 30% (4820197566013),Напій,139,185,25,,1,Готово до відправки,https://rozetka.com.ua/ua/legka-ruka-4820197566013/p478004929/,https://content.rozetka.com.ua/goods/images/big_tile/510911875.jpg,
Ром Ron Cartavio Black 0.7 л 40% (7751738001281),Ром,589,785,25,4.0,1,Невідомо,https://rozetka.com.ua/ua/ron-cartavio-7751738001281/p346702449/,https://content2.rozetka.com.ua/goods/images/big_tile/597629519.jpg,−25%
Арманьяк Chevalier d'Espalet VSOP 0.7 л 40% у подарунковій упаковці (3219940005502),Арманьяк,1429,,,,,Невідомо,https://rozetka.com.ua/ua/chevalier-despalet-3219940005502/p522967349/,https://content.rozetka.com.ua/goods/images/big_tile/565658321.jpg,
Горілка Green Day Evolution 0.5 л 40% (4823122201393_4820235321192),Горілка,122,144,15,,,Готово до відправки,https://rozetka.com.ua/ua/green-day-4823122201393/p552997746/,https://content2.rozetka.com.ua/goods/images/big_tile/610325361.jpg,
Бренді Vellevine 7 років витримки 0.5 л 40% (4860117333141),Бренді,419,525,20,4.5,2,Невідомо,https://rozetka.com.ua/ua/vellevine-4860117333141/p416687136/,https://content.rozetka.com.ua/goods/images/big_tile/407198200.jpg,−20%
Коньяк України Erisioni VSOP 5* 0.5 л 40% (4820254570199),Коньяк,228,245,7,4.5,20,Готово до відправки,https://rozetka.com.ua/ua/erisioni_4820254570199/p323468536/,https://content2.rozetka.com.ua/goods/images/big_tile/232767879.jpg,
Джин Stirling London Dry Gin 47% 0.7 л (8711114489200),Джин,560,,,4.0,2,Невідомо,https://rozetka.com.ua/ua/stirling-8711114489200/p374479452/,https://content2.rozetka.com.ua/goods/images/big_tile/326811864.jpg,
Горілка Karavan 0.7 л 40% (3263280105040),Горілка,657,,,,2,Невідомо,https://rozetka.com.ua/ua/karavan_3263280105040/p268944216/,https://content2.rozetka.com.ua/goods/images/big_tile/8655098.jpg,
Алкогольний напій на основі віскі Спайсд Barry Bernard 3 роки витримки 0.7 л 35% (8053782390076),Алкогольний,290,399,27,5.0,1,Є в наявності,https://rozetka.com.ua/ua/barry-bernard-8053782390076/p447028178/,https://content1.rozetka.com.ua/goods/images/big_tile/465053503.jpg,−27%
Ром Duppy Share Spiced 0.7 л 37.5% в тубусі (5060397380401),Ром,1250,,,,,Є в наявності,https://rozetka.com.ua/ua/the-duppy-share-5060397380401/p445333151/,https://content.rozetka.com.ua/goods/images/big_tile/461235834.jpg,
Настоянка Nemiroff Originals Журавлина 0.5 л 21% (4820181429867_4820181429829),Настоянка,179,189,5,,1,Готово до відправки,https://rozetka.com.ua/ua/nemiroff-kopiya-4820181429867/p492977454/,https://content2.rozetka.com.ua/goods/images/big_tile/528316092.jpg,
Настоянка плодова Відьомська вода Лаванда 0.5 л 22% (4820269290389),Настоянка,385,457,16,5.0,1,Невідомо,https://rozetka.com.ua/ua/witch-water-4820269290389/p455353784/,https://content.rozetka.com.ua/goods/images/big_tile/482216203.jpg,
Віскі Glen Talloch 3 уо 0.7 л 40% (8711114472042),Віскі,449,520,14,4.0,5,Невідомо,https://rozetka.com.ua/ua/glen_talloch_8711114472042/p335168251/,https://content1.rozetka.com.ua/goods/images/big_tile/339201217.jpg,−14%
Саке Bijito Junmai 0.72 л 14.5% (4901410043082),Саке,1185,,,4.3,7,Невідомо,https://rozetka.com.ua/ua/bijito_4901410043082/p218982433/,https://content1.rozetka.com.ua/goods/images/big_tile/25283949.jpg,
Дистилят Gorilka Official преміальний 7 злаків 0.5 л 45% (4820269290471),Дистилят,510,551,7,,,Невідомо,https://rozetka.com.ua/ua/gorilka-official-4820269290471/p508434039/,https://content.rozetka.com.ua/goods/images/big_tile/547207330.jpg,
Горілка Львівський стандарт Оригінальна 0.5 л 40% (4820050236282),Горілка,109,139,22,,1,Невідомо,https://rozetka.com.ua/ua/lvivskiy-standart-4820050236282/p510999974/,https://content.rozetka.com.ua/goods/images/big_tile/582455682.jpg,
Арманьяк Clos Martin VSOP 0.7 л 40% (3590651707085),Арманьяк,1759,2139,18,5.0,3,Є в наявності,https://rozetka.com.ua/ua/cloth_martin_3590651707085/p10218772/,https://content.rozetka.com.ua/goods/images/big_tile/10777352.jpg,−18%
Горілка особлива Легка Рука Батьківська 0.7 л 40% (4820197564248),Горілка,169,224,25,5.0,1,Готово до відправки,https://rozetka.com.ua/ua/legka-ruka-4820197564248/p415832016/,https://content1.rozetka.com.ua/goods/images/big_tile/404943077.jpg,
Віскі Teichenné Glen Ryan Blended Scotch Whisky 1 л 40% (8413425010929),Віскі,463,533,13,2.0,1,Готово до відправки,https://rozetka.com.ua/ua/teichenn_8413425010929/p386639310/,https://content.rozetka.com.ua/goods/images/big_tile/349351296.jpg,−13%
Текіла Casco Viejo Blanco Agava 100% 0.2 л 40% (698450591003),Текіла,329,392,16,,,Готово до відправки,https://rozetka.com.ua/ua/casco-viejo-698450591003/p437401949/,https://content.rozetka.com.ua/goods/images/big_tile/488378032.jpg,−16%
Бренді Areni 5 зірок 0.25 л 40% (4850087003458_4850087004790),Бренді,114,159,28,1.0,1,Невідомо,https://rozetka.com.ua/ua/areni_4850087003458/p299009053/,https://content.rozetka.com.ua/goods/images/big_tile/180311406.jpg,−28%
