title,brand,price,old_price,discount_percent,rating,reviews_count,availability,url,image,badges
Вино ігристе Freixenet Cava Cordon Negro біле брют 0.75 л 11.5% (8410036009090),Вино,395,500,21,4.3,43,Невідомо,https://rozetka.com.ua/ua/freixenet_8410036009090/p12820621/,https://content2.rozetka.com.ua/goods/images/big_tile/462240225.jpg,−21%
Вино JP Chenet Colombard-Chardonnay біле сухе 0.75 л (3263286346683),Вино,319,400,20,4.5,56,Готово до відправки,https://rozetka.com.ua/ua/jp_chenet_3263286346683/p5537955/,https://content1.rozetka.com.ua/goods/images/big_tile/377557442.jpg,−20%
Вино ігристе Leleka Wines Semi-Sweet біле напівсолодке 0.75 л 11.5% (4820004385578),Вино,199,294,32,5.0,2,Невідомо,https://rozetka.com.ua/ua/leleka-wines-4820004385578/p427051487/,https://content2.rozetka.com.ua/goods/images/big_tile/424673455.jpg,
Вино ігристе Chateau Chizay рожеве брют 0.75 л 11.5% (4820001633832X),Вино,244,,,3.8,9,Невідомо,https://rozetka.com.ua/ua/chateau-chizay-4820001633832x/p455896134/,https://content1.rozetka.com.ua/goods/images/big_tile/482958194.jpg,
Вино ігристе Артемівське Малевич червоне напівсолодке 0.75 л 10-13.5% (4820176064042),Вино,209,220,5,,,Невідомо,https://rozetka.com.ua/ua/artemovskoe-4820176064042/p555406440/,https://content.rozetka.com.ua/goods/images/big_tile/615062737.png,НОВИНКА
Вино Alceno Amalinda Sauvignon Blanc біле сухе 0.75 л 12% (8437016230541),Вино,239,,,4.8,7,Готово до відправки,https://rozetka.com.ua/ua/alceno-8437016230541/p387705879/,https://content1.rozetka.com.ua/goods/images/big_tile/351474070.jpg,
Вино Colli Amerini Vino Bianco de Italia сухе біле 5 л 11% (8009489040066_8011510031653),Вино,659,1045,37,4.7,48,Готово до відправки,https://rozetka.com.ua/ua/colli_amerini_8009489040066/p389206710/,https://content1.rozetka.com.ua/goods/images/big_tile/354132419.jpg,−37%
Вино Misilla Nerello Mascalese Terre Siciliane IGT червоне сухе 0.75 л 12% (8017437000963),Вино,199,220,10,4.4,47,Невідомо,https://rozetka.com.ua/ua/misilla_8017437000963/p345714325/,https://content.rozetka.com.ua/goods/images/big_tile/273455492.jpg,ТІЛЬКИ В ROZETKA
Вино JP Chenet Cabernet-Syrah червоне сухе 0.75 л (3263286301323),Вино,319,400,20,4.6,77,Готово до відправки,https://rozetka.com.ua/ua/jp_chenet_3263286301323/p5538003/,https://content2.rozetka.com.ua/goods/images/big_tile/360100105.jpg,−20%
Вино Yellow Tail Sauvignon Blanc біле напівсухе 0.75 л (9322214011520),Вино,349,439,21,4.4,18,Невідомо,https://rozetka.com.ua/ua/yellow_tail_9322214011520/p14487746/,https://content.rozetka.com.ua/goods/images/big_tile/10953867.jpg,АКЦІЯ
