title,url,image,price,old_price,discount_amount_uah,rating,reviews_count,availability,badges,brand,discount_percent
Крем-гель Nivea для вмивання Ніжний 150 мл,https://epicentrk.ua/ua/shop/krem-gel-nivea-ochishchayushchiy-dlya-umyvaniya.html,https://cdn.27.ua/190/93/0a/103178_24.jpeg,155,207,51,,,В наявності,Акція -25%,NIVEA,25
Гель очищувальний Tink зволожуючий Колаген-Гіалуронова кислота 150 мл,https://epicentrk.ua/ua/shop/hel-ochyshchuvalnyi-tink-zvolozhuiuchyi-kolahen-hialuronova-kyslota-150-ml.html,https://cdn.27.ua/190/02/d7/8454871_1.jpeg,148,,,,,В наявності,,Tink,
Мило Biotrade догляд для глибокого очищення 100 мл,https://epicentrk.ua/ua/shop/mylo-biotrade-ukhod-dlya-glubokogo-ochischeniya-100-ml.html,https://cdn.27.ua/190/cb/07/1100551_1.jpeg,420,,,,,В наявності,1+1=3,Мило,
Гель для вмивання Mixa для чутливої шкіри 200 мл,https://epicentrk.ua/ua/shop/gel-dlya-umyvaniya-mixa-dlya-chuvstvitelnoy-kozhi-200-ml.html,https://cdn.27.ua/190/25/e6/992742_2.jpeg,283,,,,,В наявності,,Mixa,
Гель міцелярний BIOTEN Детокс 200 мл,https://epicentrk.ua/ua/shop/hel-mitseliarnyi-bioten-detoks-200-ml.html,https://cdn.27.ua/190/0f/03/7671555_1.jpeg,156,215,59,,,В наявності,-27%,BIOTEN,27
Гель Biotrade ACNE OUT з киснем і молочною кислотою 200 мл,https://epicentrk.ua/ua/shop/gel-biotrade-s-kislorodom-i-molochnoy-kislotoy-200-ml.html,https://cdn.27.ua/190/cb/03/1100547_1.jpeg,715,,,,,В наявності,1+1=3,Гель,
Гель Nivea скраб і маска Rose Care 3в1 150 мл,https://epicentrk.ua/ua/shop/hel-nivea-skrab-i-maska-rose-care-3v1-150-ml.html,https://cdn.27.ua/190/8d/2f/7245103_1.jpeg,313,,,,,В наявності,,NIVEA,
Крем-гель день-ніч Lirene зволожувальний з олією чорної смородини 150 мл,https://epicentrk.ua/ua/shop/krem-gel-dlya-litsa-den-noch-lirene-uvlazhnyayuschiy-s-maslom-chernoy-smorodiny-150-ml.html,https://cdn.27.ua/190/6a/0b/1141259_1.jpeg,199,,,,,В наявності,,Lirene,
Крем-пінка для вмивання Владіком Flawless Skin Collagen-Protein 150 мл,https://epicentrk.ua/ua/shop/krem-pinka-dlia-vmyvannia-vladikom-flawless-skin-collagen-protein-150-ml.html,https://cdn.27.ua/190/da/29/7854633_1.jpeg,131,159,27,,,В наявності,-17%,Владіком,18
Мус для вмивання Dr. Sante ArganOil з олією марокканської аргани 150 мл,https://epicentrk.ua/ua/shop/muss-dlya-umyvaniya-dr-sante-arganoil-molodost-kozhi.html,https://cdn.27.ua/190/a2/00/303616_1.jpeg,119,,,,,В наявності,,Dr. Sante,
Гель для вмивання Ziaja Молочний 200 мл,https://epicentrk.ua/ua/shop/gel-dlya-umyvaniya-ziaja-molochnyy-200-ml.html,https://cdn.27.ua/190/26/01/992769_1.jpeg,178,,,,,В наявності,,Ziaja,
Пінка Sane для жирної шкіри обличчя 150 мл,https://epicentrk.ua/ua/shop/pinka-sane-dlia-zhyrnoi-shkiry-oblychchia-150-ml.html,https://cdn.27.ua/190/24/37/6956087_1.jpeg,199,,,,,В наявності,,Sane,
"Гель очищувальний Weleda для вмивання жирної, комбінованої та проблемної шкіри 100 мл",https://epicentrk.ua/ua/shop/hel-ochyshchuvalnyi-weleda-dlia-vmyvannia-zhyrnoi-kombinovanoi-ta-problemnoi-shkiry-100-ml.html,https://cdn.27.ua/190/7d/d3/9076179_1.jpeg,456,,,,,В наявності,1+1=3,Weleda,
Пінка для вмивання Biotrade Pure Skin делікатна c ефектом звуження пор і зволоження 150 мл,https://epicentrk.ua/ua/shop/penka-dlya-umyvaniya-biotrade-pure-skin-c-effektom-suzheniya-por-i-uvlazhneniya-150-ml.html,https://cdn.27.ua/190/d5/6b/1365355_1.jpeg,851,,,,,В наявності,1+1=3,Пінка,
Пінка для вмивання Hillary Cleansing Foam + 5 oils 150 мл,https://epicentrk.ua/ua/shop/pinka-dlia-vmyvannia-hillary-cleansing-foam-5-oils-150-ml.html,https://cdn.27.ua/190/ef/13/7859987_1.jpeg,370,,,,,В наявності,1+1=3,Hillary,
Гель для вмивання Чистая Линия Ідеальна шкіра 115 мл,https://epicentrk.ua/ua/shop/hel-dlia-vmyvannia-chystaia-lynyia-idealna-shkira-115-ml.html,https://cdn.27.ua/190/96/0b/6723083_2.jpeg,76,,,,,В наявності,,Чистая Линия,
